Circular 	Gene
hsa_circ_0023255	CPT1A
hsa_circ_0065040	TMEM42
hsa_circ_0021446	LDHA
hsa_circ_0024516	SLC37A4
hsa_circ_0074945	DOCK2
hsa_circ_0000753	SSH2
hsa_circ_0089799	None
hsa_circ_0050971	NCCRP1
hsa_circ_0023724	INTS4
hsa_circ_0043020	ZNF207
hsa_circ_0091480	SMARCA1
hsa_circ_0044357	SKAP1
hsa_circ_0068629	TFRC
hsa_circ_0067116	SNX4
hsa_circ_0007688	ATXN1
hsa_circ_0021569	QSER1
hsa_circ_0030236	FNDC3A
hsa_circ_0074514	PDGFRB
hsa_circ_0032477	SIPA1L1
hsa_circ_0071403	DDX60L
hsa_circ_0029292	NCOR2
hsa_circ_0073432	RHOBTB3
hsa_circ_0047355	TRAPPC8
hsa_circ_0007046	GFPT1
hsa_circ_0039566	ARL2BP
hsa_circ_0087828	SLC44A1
hsa_circ_0059115	DTYMK
hsa_circ_0067655	ATR
hsa_circ_0054613	CCDC88A
hsa_circ_0001663	TMEM181
hsa_circ_0083429	SLC7A2
hsa_circ_0078541	SOD2
hsa_circ_0043312	LOC440434
hsa_circ_0079671	TAX1BP1
hsa_circ_0022642	STIP1
hsa_circ_0091384	DOCK11
hsa_circ_0075631	ELOVL2
hsa_circ_0034836	STARD9
hsa_circ_0062641	LRP5L
hsa_circ_0053639	BIRC6
hsa_circ_0021079	EIF3F
hsa_circ_0046816	PTPRM
hsa_circ_0019815	PDCD11
hsa_circ_0082324	ZC3HC1
hsa_circ_0022223	TMEM109
hsa_circ_0041259	PITPNA
hsa_circ_0086840	TLN1
hsa_circ_0076944	BAI3
hsa_circ_0061784	MX2
hsa_circ_0034963	TUBGCP4
hsa_circ_0068750	LRCH3
hsa_circ_0050902	ACTN4
hsa_circ_0014590	ASH1L
hsa_circ_0052068	PPP2R1A
hsa_circ_0018818	USP54
hsa_circ_0036625	PDE8A
hsa_circ_0086955	TLN1
hsa_circ_0070334	WDFY3
hsa_circ_0034679	INO80
hsa_circ_0073685	HSD17B4
hsa_circ_0065973	RPL29
hsa_circ_0048892	C3
hsa_circ_0022204	PATL1
hsa_circ_0057334	TFPI
hsa_circ_0028186	ANAPC7
hsa_circ_0082346	TMEM209
hsa_circ_0038456	UQCRC2
hsa_circ_0015957	RNPEP
hsa_circ_0087707	TRIM14
hsa_circ_0008472	ATXN10
hsa_circ_0017887	ST8SIA6
hsa_circ_0026987	CNPY2
hsa_circ_0020600	TCONS_l2_00005353
hsa_circ_0006167	SERINC3
hsa_circ_0038139	ABCC1
hsa_circ_0050445	PEPD
hsa_circ_0065825	RBM5
hsa_circ_0049718	PRKACA
hsa_circ_0046021	RNF213
hsa_circ_0005547	CEP112
hsa_circ_0054319	THADA
hsa_circ_0043172	MYO19
hsa_circ_0014217	PGLYRP3
hsa_circ_0028008	TCP11L2
hsa_circ_0064512	ANKRD28
hsa_circ_0051844	RUVBL2
hsa_circ_0062646	TCONS_l2_00017666
hsa_circ_0025177	GAPDH
hsa_circ_0077673	LAMA4
hsa_circ_0076464	MRPL2
hsa_circ_0072148	SKP2
hsa_circ_0016957	PCNXL2
hsa_circ_0045554	CD300A
hsa_circ_0043956	BRCA1
hsa_circ_0004874	SNX25
hsa_circ_0072913	TNPO1
hsa_circ_0051099	SHKBP1
hsa_circ_0013668	SLC22A15
hsa_circ_0033206	DYNC1H1
hsa_circ_0024535	HMBS
hsa_circ_0015705	TPR
hsa_circ_0076235	FTSJD2
hsa_circ_0090521	HDAC6
hsa_circ_0016253	EIF2D
hsa_circ_0014897	COPA
hsa_circ_0071588	FAT1
hsa_circ_0020531	LRRC27
hsa_circ_0055713	FAM178B
hsa_circ_0022435	EEF1G
hsa_circ_0074071	FAM13B
hsa_circ_0085663	ST3GAL1
hsa_circ_0066807	C3orf17
hsa_circ_0074838	CCNJL
hsa_circ_0086023	BOP1
hsa_circ_0060137	RBM39
hsa_circ_0013779	NOTCH2
hsa_circ_0077852	None
hsa_circ_0005432	SECISBP2
hsa_circ_0001746	MKLN1
hsa_circ_0080285	PHKG1
hsa_circ_0077519	HACE1
hsa_circ_0062376	PI4KA
hsa_circ_0042078	GLP2R
hsa_circ_0071880	TRIO
hsa_circ_0029376	AACS
hsa_circ_0088061	SUSD1
hsa_circ_0061096	LAMA5
hsa_circ_0063084	MYH9
hsa_circ_0005677	ITCH
hsa_circ_0056942	CERS6
hsa_circ_0017700	UPF2
hsa_circ_0040252	SF3B3
hsa_circ_0028737	GCN1L1
hsa_circ_0071446	GALNT7
hsa_circ_0088386	RC3H2
hsa_circ_0075327	TBC1D9B
hsa_circ_0012584	ZYG11A
hsa_circ_0045447	BPTF
hsa_circ_0031251	PRMT5
hsa_circ_0084510	ATP6V1H
hsa_circ_0073090	AP3B1
hsa_circ_0066312	FLNB
hsa_circ_0084081	ANK1
hsa_circ_0037163	MRPL28
hsa_circ_0033611	MTA1
hsa_circ_0008854	KIF18A
hsa_circ_0029113	KNTC1
hsa_circ_0062673	SRRD
hsa_circ_0014884	COPA
hsa_circ_0083346	FDFT1
hsa_circ_0034829	STARD9
hsa_circ_0054799	USP34
hsa_circ_0072816	LOC100170939
hsa_circ_0055167	EXOC6B
hsa_circ_0090936	YIPF6
hsa_circ_0004364	ZC3HC1
hsa_circ_0045098	MED13
hsa_circ_0031306	AP1G2
hsa_circ_0089876	MSL3
hsa_circ_0049233	MRPL4
hsa_circ_0048541	EEF2
hsa_circ_0079504	SNX13
hsa_circ_0005946	RPA1
hsa_circ_0070357	PTPN13
hsa_circ_0062692	TTC28
hsa_circ_0062165	ATP6V1E1
hsa_circ_0013197	CCDC18
hsa_circ_0000144	SLAMF6
hsa_circ_0013443	SORT1
hsa_circ_0024235	ATM
hsa_circ_0049072	HNRNPM
hsa_circ_0027690	TMTC3
hsa_circ_0049960	NR2F6
hsa_circ_0021955	DDB2
hsa_circ_0028938	SPPL3
hsa_circ_0066430	THOC7
hsa_circ_0028983	KDM2B
hsa_circ_0082788	KIAA1147
hsa_circ_0054443	EPAS1
hsa_circ_0021753	LDLRAD3
hsa_circ_0019627	C10orf76
hsa_circ_0047908	SERPINB2
hsa_circ_0023326	PPFIA1
hsa_circ_0091356	KLHL13
hsa_circ_0011381	EIF3I
hsa_circ_0013868	None
hsa_circ_0002198	PDE7B
hsa_circ_0046617	LRRC37A
hsa_circ_0031908	FRMD6
hsa_circ_0046260	P4HB
hsa_circ_0066392	PDHB
hsa_circ_0005858	CRIM1
hsa_circ_0009407	MEGF6
hsa_circ_0060227	RBL1
hsa_circ_0048112	MED16
hsa_circ_0062553	GUSBP11
hsa_circ_0040774	ZCCHC14
hsa_circ_0029695	SKA3
hsa_circ_0064645	RBMS3
hsa_circ_0073449	RHOBTB3
hsa_circ_0032466	SIPA1L1
hsa_circ_0091014	TAF1
hsa_circ_0012468	NRD1
hsa_circ_0083709	DOCK5
hsa_circ_0068315	ECE2
hsa_circ_0001877	ERP44
hsa_circ_0075609	TMEM14B
hsa_circ_0058905	HDAC4
hsa_circ_0053399	None
hsa_circ_0066098	GNL3
hsa_circ_0002692	TNPO1
hsa_circ_0022995	BBS1
hsa_circ_0050866	MAP4K1
hsa_circ_0023631	DGAT2
hsa_circ_0023995	FAT3
hsa_circ_0042571	SPAG5
hsa_circ_0078459	TULP4
hsa_circ_0055059	GFPT1
hsa_circ_0034215	HERC2
hsa_circ_0066040	NISCH
hsa_circ_0041070	SPIRE2
hsa_circ_0074142	HSPA9
hsa_circ_0091400	IL13RA1
hsa_circ_0088656	LRSAM1
hsa_circ_0022259	DDB1
hsa_circ_0030849	COL4A1
hsa_circ_0056782	PKP4
hsa_circ_0005104	SAFB
hsa_circ_0020815	NAP1L4
hsa_circ_0025659	ITPR2
hsa_circ_0007381	TRIP12
hsa_circ_0057477	ANKAR
hsa_circ_0052317	ZNF417
hsa_circ_0001742	SMO
hsa_circ_0081467	PILRB
hsa_circ_0083762	PTK2B
hsa_circ_0034035	HERC2P3
hsa_circ_0056856	ITGB6
hsa_circ_0027554	CNOT2
hsa_circ_0090272	USP9X
hsa_circ_0066110	NEK4
hsa_circ_0061150	ARFGAP1
hsa_circ_0040449	PSMD7
hsa_circ_0069578	UCHL1
hsa_circ_0043457	PGAP3
hsa_circ_0087078	FBXO10
hsa_circ_0001529	AFF4
hsa_circ_0055648	SNRNP200
hsa_circ_0067302	PLXND1
hsa_circ_0045995	SGSH
hsa_circ_0021178	IPO7
hsa_circ_0084576	CA8
hsa_circ_0078988	None
hsa_circ_0000357	SIK3
hsa_circ_0010435	SH2D5
hsa_circ_0087175	SMC5
hsa_circ_0043142	TAF15
hsa_circ_0027994	APPL2
hsa_circ_0077426	USP45
hsa_circ_0040555	KARS
hsa_circ_0083164	UBE3C
hsa_circ_0081554	SRRT
hsa_circ_0046591	TBCD
hsa_circ_0065430	COL7A1
hsa_circ_0056450	SMPD4
hsa_circ_0081251	TRRAP
hsa_circ_0070280	AGPAT9
hsa_circ_0061820	C2CD2
hsa_circ_0008709	GPATCH8
hsa_circ_0006424	FAM177A1
hsa_circ_0064229	FANCD2
hsa_circ_0039022	LOC595101
hsa_circ_0020708	RPLP2
hsa_circ_0051581	CCDC61
hsa_circ_0067439	RYK
hsa_circ_0070219	ANTXR2
hsa_circ_0018335	PARG
hsa_circ_0060312	CTNNBL1
hsa_circ_0021991	PSMC3
hsa_circ_0086241	RFX3
hsa_circ_0063048	MCM5
hsa_circ_0066498	C3orf64
hsa_circ_0038696	LCMT1
hsa_circ_0014676	LMNA
hsa_circ_0014251	ILF2
hsa_circ_0091932	FLNA
hsa_circ_0075687	ATXN1
hsa_circ_0039317	ZNF423
hsa_circ_0005684	DENND4C
hsa_circ_0017185	FMN2
hsa_circ_0067911	PHC3
hsa_circ_0008923	RAB7A
hsa_circ_0012336	NSUN4
hsa_circ_0051004	RPS16
hsa_circ_0085563	FAM49B
hsa_circ_0040281	SF3B3
hsa_circ_0042873	C17orf42
hsa_circ_0023388	NADSYN1
hsa_circ_0070246	SEC31A
hsa_circ_0079831	DPY19L1
hsa_circ_0042727	DHRS13
hsa_circ_0010599	HSPG2
hsa_circ_0066663	TFG
hsa_circ_0024071	MTMR2
hsa_circ_0070396	NUDT9
hsa_circ_0010266	UBR4
hsa_circ_0081833	SRPK2
hsa_circ_0011964	PPCS
hsa_circ_0030281	DLEU2
hsa_circ_0056281	EPB41L5
hsa_circ_0050771	ZNF529
hsa_circ_0030359	SUGT1
hsa_circ_0083604	BMP1
hsa_circ_0079878	ANLN
hsa_circ_0088709	ST6GALNAC6
hsa_circ_0041217	MYO1C
hsa_circ_0086413	BNC2
hsa_circ_0024273	PPP2R1B
hsa_circ_0080375	C7orf42
hsa_circ_0037557	PDPK1
hsa_circ_0092207	DHRSX
hsa_circ_0083682	NEFM
hsa_circ_0036535	KIAA1199
hsa_circ_0087583	HIATL1
hsa_circ_0082692	JHDM1D
hsa_circ_0021205	WEE1
hsa_circ_0008338	ZNF215
hsa_circ_0089371	REXO4
hsa_circ_0010287	UBR4
hsa_circ_0086757	CNTFR
hsa_circ_0077034	COL12A1
hsa_circ_0007358	MGLL
hsa_circ_0078794	None
hsa_circ_0062484	None
hsa_circ_0029161	ABCB9
hsa_circ_0078575	IGF2R
hsa_circ_0003665	TMCC1
hsa_circ_0000332	PC
hsa_circ_0062416	UBE2L3
hsa_circ_0026517	EIF4B
hsa_circ_0064303	ATG7
hsa_circ_0060362	FAM83D
hsa_circ_0068083	GNB4
hsa_circ_0024029	HEPHL1
hsa_circ_0049263	PDE4A
hsa_circ_0055856	NPAS2
hsa_circ_0041130	DEF8
hsa_circ_0041060	FANCA
hsa_circ_0060913	ZNF217
hsa_circ_0068025	ECT2
hsa_circ_0014166	POGZ
hsa_circ_0029351	UBC
hsa_circ_0041052	FANCA
hsa_circ_0077626	CDK19
hsa_circ_0033685	None
hsa_circ_0055982	LIMS1
hsa_circ_0025003	ADIPOR2
hsa_circ_0027153	LRP1
hsa_circ_0008014	SMURF2
hsa_circ_0042353	FBXW10
hsa_circ_0065263	SMARCC1
hsa_circ_0046518	TBCD
hsa_circ_0016293	CD55
hsa_circ_0053103	TMEM214
hsa_circ_0086039	HSF1
hsa_circ_0021274	USP47
hsa_circ_0025568	PDE3A
hsa_circ_0076202	MTCH1
hsa_circ_0038495	EEF2K
hsa_circ_0009769	EXOSC10
hsa_circ_0050361	ANKRD27
hsa_circ_0029607	PSPC1
hsa_circ_0039904	SLC12A4
hsa_circ_0004683	C16orf62
hsa_circ_0025423	A2M
hsa_circ_0071123	ARHGAP10
hsa_circ_0007656	STRN3
hsa_circ_0054867	XPO1
hsa_circ_0050872	MAP4K1
hsa_circ_0000112	AP4B1
hsa_circ_0062938	DEPDC5
hsa_circ_0040754	LOC400550
hsa_circ_0051766	DBP
hsa_circ_0091888	FLNA
hsa_circ_0087504	IARS
hsa_circ_0032593	LTBP2
hsa_circ_0047930	RTTN
hsa_circ_0064839	C3orf35
hsa_circ_0046750	LPIN2
hsa_circ_0057366	COL3A1
hsa_circ_0003205	CTNNA1
hsa_circ_0013333	SLC30A7
hsa_circ_0032379	MAP3K9
hsa_circ_0054937	MDH1
hsa_circ_0043809	STAT3
hsa_circ_0032169	SYNE2
hsa_circ_0042669	SUPT6H
hsa_circ_0079715	GARS
hsa_circ_0043565	TNS4
hsa_circ_0079783	DPY19L1P1
hsa_circ_0062784	UQCR10
hsa_circ_0069600	SLC30A9
hsa_circ_0005880	GTF2H2C
hsa_circ_0071971	ANKH
hsa_circ_0044190	None
hsa_circ_0031762	FAM179B
hsa_circ_0048516	APBA3
hsa_circ_0017726	DHTKD1
hsa_circ_0001225	MYH9
hsa_circ_0018773	P4HA1
hsa_circ_0053575	BIRC6
hsa_circ_0002316	OMA1
hsa_circ_0021320	FAR1
hsa_circ_0020486	MKI67
hsa_circ_0020500	GLRX3
hsa_circ_0062766	AP1B1
hsa_circ_0029650	XPO4
hsa_circ_0085355	CSMD3
hsa_circ_0008691	AATF
hsa_circ_0000048	RNF19B
hsa_circ_0067238	RAB7A
hsa_circ_0056340	ERCC3
hsa_circ_0033462	CDC42BPB
hsa_circ_0031999	GCH1
hsa_circ_0084534	LYPLA1
hsa_circ_0077248	SNX14
hsa_circ_0033865	ADAM6
hsa_circ_0088821	GLE1
hsa_circ_0073747	LMNB1
hsa_circ_0048343	AP3D1
hsa_circ_0085297	RIMS2
hsa_circ_0016148	PIK3C2B
hsa_circ_0083528	XPO7
hsa_circ_0007132	ATXN1
hsa_circ_0004805	UBE2G1
hsa_circ_0032485	ZFYVE1
hsa_circ_0016489	EPRS
hsa_circ_0025930	NELL2
hsa_circ_0016615	DNAH14
hsa_circ_0081099	COL1A2
hsa_circ_0017662	ITIH2
hsa_circ_0075796	DEK
hsa_circ_0059324	CDC25B
hsa_circ_0001259	TCONS_00029632
hsa_circ_0023433	INPPL1
hsa_circ_0021367	PLEKHA7
hsa_circ_0052956	ATAD2B
hsa_circ_0009193	SAMD11
hsa_circ_0053997	CRIM1
hsa_circ_0047150	TMEM241
hsa_circ_0016854	GALNT2
hsa_circ_0077801	RSPO3
hsa_circ_0077255	SNHG5
hsa_circ_0058427	SGPP2
hsa_circ_0082572	TRIM24
hsa_circ_0069460	RFC1
hsa_circ_0032383	PCNX
hsa_circ_0024381	SIDT2
hsa_circ_0092266	NLGN4Y
hsa_circ_0065012	C3orf23
hsa_circ_0044753	VEZF1
hsa_circ_0028420	PTPN11
hsa_circ_0034414	RASGRP1
hsa_circ_0052675	LPIN1
hsa_circ_0030620	UGGT2
hsa_circ_0011379	EIF3I
hsa_circ_0058125	FN1
hsa_circ_0038084	ABCC1
hsa_circ_0090007	PHKA2
hsa_circ_0052539	ITGB1BP1
hsa_circ_0010823	KDM1A
hsa_circ_0023781	ALG8
hsa_circ_0027084	ATP5B
hsa_circ_0069267	DCAF16
hsa_circ_0086266	JAK2
hsa_circ_0079690	PLEKHA8
hsa_circ_0063360	GTPBP1
hsa_circ_0005221	NPLOC4
hsa_circ_0075537	FARS2
hsa_circ_0068556	LSG1
hsa_circ_0054412	SRBD1
hsa_circ_0059539	SEC23B
hsa_circ_0052611	NOL10
hsa_circ_0016812	NUP133
hsa_circ_0026075	PRKAG1
hsa_circ_0032345	SLC39A9
hsa_circ_0077968	MAP3K5
hsa_circ_0060409	CHD6
hsa_circ_0070103	FRAS1
hsa_circ_0039351	TOX3
hsa_circ_0027919	NUP37
hsa_circ_0022905	MUS81
hsa_circ_0038420	LOC100271836
hsa_circ_0068485	ST6GAL1
hsa_circ_0044070	GRN
hsa_circ_0053853	BIRC6
hsa_circ_0038499	EEF2K
hsa_circ_0002638	ZNF451
hsa_circ_0050966	FBXO27
hsa_circ_0017361	ZMYND11
hsa_circ_0025561	AEBP2
hsa_circ_0057676	HSPD1
hsa_circ_0059836	BPIFB2
hsa_circ_0024364	SIK3
hsa_circ_0024135	DYNC2H1
hsa_circ_0046205	NPLOC4
hsa_circ_0021841	AMBRA1
hsa_circ_0053405	SPAST
hsa_circ_0071336	FNIP2
hsa_circ_0076810	DST
hsa_circ_0088551	PPP6C
hsa_circ_0061513	IFNGR2
hsa_circ_0054460	MCFD2
hsa_circ_0000896	FARSA
hsa_circ_0003458	PTBP3
hsa_circ_0010139	ARHGEF19
hsa_circ_0071453	HMGB2
hsa_circ_0069678	FRYL
hsa_circ_0000808	SEPT9
hsa_circ_0018034	MASTL
hsa_circ_0014816	ARHGEF11
hsa_circ_0042711	ERAL1
hsa_circ_0019324	RRP12
hsa_circ_0005019	CHSY1
hsa_circ_0025779	IPO8
hsa_circ_0064475	CAPN7
hsa_circ_0027923	C12orf48
hsa_circ_0000480	ZC3H13
hsa_circ_0020326	FAM53B
hsa_circ_0052280	ZNF787
hsa_circ_0023976	TMEM135
hsa_circ_0029610	PSPC1
hsa_circ_0067407	TF
hsa_circ_0010579	HSPG2
hsa_circ_0078472	TULP4
hsa_circ_0059161	CSNK2A1
hsa_circ_0044537	COL1A1
hsa_circ_0087155	PTAR1
hsa_circ_0040056	VPS4A
hsa_circ_0025586	RECQL
hsa_circ_0078833	None
hsa_circ_0070763	USP53
hsa_circ_0045822	LOC100507246
hsa_circ_0018929	DLG5
hsa_circ_0078041	GPR126
hsa_circ_0067373	DNAJC13
hsa_circ_0040636	PLCG2
hsa_circ_0027446	HMGA2
hsa_circ_0089950	CTPS2
hsa_circ_0037036	IGF1R
hsa_circ_0081591	ZNHIT1
hsa_circ_0074326	DIAPH1
hsa_circ_0055255	ACTG2
hsa_circ_0010343	UBR4
hsa_circ_0090686	HUWE1
hsa_circ_0044797	RAD51C
hsa_circ_0084645	MYBL1
hsa_circ_0016767	ARF1
hsa_circ_0078215	KATNA1
hsa_circ_0085431	DERL1
hsa_circ_0007180	POLI
hsa_circ_0043833	ATP6V0A1
hsa_circ_0078438	SNX9
hsa_circ_0004383	ZNF292
hsa_circ_0045142	TLK2
hsa_circ_0011179	SRSF4
hsa_circ_0022148	SLC43A1
hsa_circ_0092056	ATP6AP1
hsa_circ_0086201	KANK1
hsa_circ_0012665	HEATR8-TTC4
hsa_circ_0031928	NID2
hsa_circ_0013599	PHTF1
hsa_circ_0023874	CREBZF
hsa_circ_0027942	C12orf73
hsa_circ_0034542	THBS1
hsa_circ_0064579	NR1D2
hsa_circ_0058699	DIS3L2
hsa_circ_0056749	PRPF40A
hsa_circ_0033342	DYNC1H1
hsa_circ_0005770	PDLIM5
hsa_circ_0003714	THADA
hsa_circ_0056762	ACVR1
hsa_circ_0029338	SCARB1
hsa_circ_0051304	MEGF8
hsa_circ_0001780	PCM1
hsa_circ_0012903	SGIP1
hsa_circ_0034194	HERC2
hsa_circ_0057409	COL3A1
hsa_circ_0084745	TRAM1
hsa_circ_0030259	RCBTB1
hsa_circ_0014324	DENND4B
hsa_circ_0049688	MRI1
hsa_circ_0044433	FAM117A
hsa_circ_0084597	ASPH
hsa_circ_0023691	CLNS1A
hsa_circ_0026154	SPATS2
hsa_circ_0087651	HIATL2
hsa_circ_0009045	SNX29
hsa_circ_0046017	RNF213
hsa_circ_0088942	NUP188
hsa_circ_0001353	GMPS
hsa_circ_0028307	ALDH2
hsa_circ_0044466	ITGA3
hsa_circ_0024589	MFRP
hsa_circ_0077367	MDN1
hsa_circ_0091776	IDH3G
hsa_circ_0054476	MSH6
hsa_circ_0026009	HDAC7
hsa_circ_0034584	IVD
hsa_circ_0055205	SFXN5
hsa_circ_0001784	ELP3
hsa_circ_0026724	COPZ1
hsa_circ_0067412	TF
hsa_circ_0064794	PDCD6IP
hsa_circ_0087596	FANCC
hsa_circ_0085300	RIMS2
hsa_circ_0058260	USP37
hsa_circ_0059854	CDK5RAP1
hsa_circ_0022529	NXF1
hsa_circ_0081043	CCDC132
hsa_circ_0020035	GPAM
hsa_circ_0000272	MOB2
hsa_circ_0018720	PSAP
hsa_circ_0091279	NRK
hsa_circ_0055616	TCONS_00004336
hsa_circ_0081075	COL1A2
hsa_circ_0035189	GALK2
hsa_circ_0067880	SEC62
hsa_circ_0083837	LEPROTL1
hsa_circ_0044604	ABCC3
hsa_circ_0075576	RIOK1
hsa_circ_0065055	EXOSC7
hsa_circ_0063206	GGA1
hsa_circ_0017095	NID1
hsa_circ_0073780	FBN2
hsa_circ_0026225	LARP4
hsa_circ_0067398	TOPBP1
hsa_circ_0049947	MYO9B
hsa_circ_0090413	UBA1
hsa_circ_0021724	CD44
hsa_circ_0033059	DDX24
hsa_circ_0016386	DTL
hsa_circ_0073564	WDR36
hsa_circ_0048340	AP3D1
hsa_circ_0024690	SORL1
hsa_circ_0007601	TBC1D23
hsa_circ_0020758	None
hsa_circ_0055845	REV1
hsa_circ_0052978	ITSN2
hsa_circ_0058305	STK36
hsa_circ_0053127	AGBL5
hsa_circ_0004404	MAP2K5
hsa_circ_0013945	CHD1L
hsa_circ_0015050	UAP1
hsa_circ_0038170	NOMO3
hsa_circ_0065699	APEH
hsa_circ_0070936	LARP1B
hsa_circ_0043207	AATF
hsa_circ_0034605	CASC5
hsa_circ_0009124	HECW2
hsa_circ_0022072	NUP160
hsa_circ_0079536	ITGB8
hsa_circ_0058065	ATIC
hsa_circ_0016298	CR1L
hsa_circ_0023619	GDPD5
hsa_circ_0039111	PHKG2
hsa_circ_0083818	INTS9
hsa_circ_0041944	FXR2
hsa_circ_0037669	CREBBP
hsa_circ_0067369	DNAJC13
hsa_circ_0043578	TMEM99
hsa_circ_0036095	UACA
hsa_circ_0086185	CBWD1
hsa_circ_0083790	ELP3
hsa_circ_0026570	ITGB7
hsa_circ_0053655	BIRC6
hsa_circ_0044672	MBTD1
hsa_circ_0051793	NUCB1
hsa_circ_0068778	TCONS_l2_00020055
hsa_circ_0045753	EVPL
hsa_circ_0054994	MEIS1
hsa_circ_0043992	DHX8
hsa_circ_0023413	NUMA1
hsa_circ_0021212	SBF2
hsa_circ_0040842	MVD
hsa_circ_0037989	NOMO1
hsa_circ_0035462	FAM63B
hsa_circ_0018123	KIF5B
hsa_circ_0015347	RFWD2
hsa_circ_0066481	KBTBD8
hsa_circ_0025946	ANO6
hsa_circ_0052373	TRIM28
hsa_circ_0042595	KIAA0100
hsa_circ_0069865	LPHN3
hsa_circ_0060153	PHF20
hsa_circ_0059982	PIGU
hsa_circ_0036466	IREB2
hsa_circ_0030129	DGKH
hsa_circ_0020647	ANO9
hsa_circ_0069073	CRMP1
hsa_circ_0069671	FRYL
hsa_circ_0077641	REV3L
hsa_circ_0057741	FAM126B
hsa_circ_0025884	SLC2A13
hsa_circ_0007594	SCN8A
hsa_circ_0021819	PEX16
hsa_circ_0078016	CCDC28A
hsa_circ_0065310	SMARCC1
hsa_circ_0021783	HSD17B12
hsa_circ_0023695	CLNS1A
hsa_circ_0089234	PRRC2B
hsa_circ_0067827	MFSD1
hsa_circ_0068934	TNIP2
hsa_circ_0062353	PI4KA
hsa_circ_0016985	PCNXL2
hsa_circ_0049828	NOTCH3
hsa_circ_0037055	MEF2A
hsa_circ_0035950	DENND4A
hsa_circ_0000745	SPECC1
hsa_circ_0062066	LSS
hsa_circ_0077132	PHIP
hsa_circ_0063866	None
hsa_circ_0091579	GPC3
hsa_circ_0062856	MORC2
hsa_circ_0055138	TEX261
hsa_circ_0034911	UBR1
hsa_circ_0067107	ZNF148
hsa_circ_0039963	PRMT7
hsa_circ_0066770	DZIP3
hsa_circ_0038335	C16orf62
hsa_circ_0086128	PPP1R16A
hsa_circ_0023029	C11orf80
hsa_circ_0011805	MACF1
hsa_circ_0065725	RNF123
hsa_circ_0090407	UBA1
hsa_circ_0083629	SORBS3
hsa_circ_0017132	HEATR1
hsa_circ_0042261	TOM1L2
hsa_circ_0078509	TMEM181
hsa_circ_0037838	CLEC16A
hsa_circ_0064013	ARSA
hsa_circ_0069103	TBC1D14
hsa_circ_0017238	SDCCAG8
hsa_circ_0023889	PICALM
hsa_circ_0027405	XPOT
hsa_circ_0070264	COPS4
hsa_circ_0041274	PRPF8
hsa_circ_0004168	RBM4B
hsa_circ_0060842	ADNP
hsa_circ_0016504	RAB3GAP2
hsa_circ_0083811	INTS9
hsa_circ_0014255	ILF2
hsa_circ_0007904	HDAC9
hsa_circ_0000461	NCOR2
hsa_circ_0081159	COL1A2
hsa_circ_0050374	ANKRD27
hsa_circ_0002954	MTMR3
hsa_circ_0065843	GNAI2
hsa_circ_0036353	SIN3A
hsa_circ_0036250	NPTN
hsa_circ_0015189	KIFAP3
hsa_circ_0064856	ACAA1
hsa_circ_0050318	None
hsa_circ_0021511	ANO5
hsa_circ_0049806	ILVBL
hsa_circ_0073571	STARD4
hsa_circ_0013438	SORT1
hsa_circ_0036367	SNX33
hsa_circ_0081023	ANKIB1
hsa_circ_0054838	USP34
hsa_circ_0035466	SLTM
hsa_circ_0006477	RASA1
hsa_circ_0059459	TASP1
hsa_circ_0014018	TARS2
hsa_circ_0051684	MEIS3
hsa_circ_0040547	GABARAPL2
hsa_circ_0083962	ASH2L
hsa_circ_0017826	HSPA14
hsa_circ_0001483	DHX29
hsa_circ_0080462	STAG3L3
hsa_circ_0092313	ZMIZ1
hsa_circ_0003564	CLUAP1
hsa_circ_0027504	CPSF6
hsa_circ_0029234	DDX55
hsa_circ_0092116	G6PD
hsa_circ_0009397	TNFRSF14
hsa_circ_0066125	ITIH3
hsa_circ_0030488	MYCBP2
hsa_circ_0058454	ACSL3
hsa_circ_0057871	CYP20A1
hsa_circ_0004764	C6orf89
hsa_circ_0076852	DST
hsa_circ_0006634	SEMA5A
hsa_circ_0001527	RAD50
hsa_circ_0063793	GTSE1
hsa_circ_0023247	CPT1A
hsa_circ_0063303	CSNK1E
hsa_circ_0029826	LNX2
hsa_circ_0067203	RUVBL1
hsa_circ_0030318	ATP7B
hsa_circ_0084060	SFRP1
hsa_circ_0052354	ZNF584
hsa_circ_0018226	LOC399744
hsa_circ_0055563	None
hsa_circ_0038531	LOC641298
hsa_circ_0076751	MCM3
hsa_circ_0006346	RAB7A
hsa_circ_0025280	TPI1
hsa_circ_0017603	IL15RA
hsa_circ_0082504	NUP205
hsa_circ_0062125	PRMT2
hsa_circ_0082473	AKR1B1
hsa_circ_0000759	ACACA
hsa_circ_0085880	PUF60
hsa_circ_0070785	USP53
hsa_circ_0023547	C2CD3
hsa_circ_0031797	KLHDC2
hsa_circ_0088365	MRRF
hsa_circ_0082707	SLC37A3
hsa_circ_0092242	USP9Y
hsa_circ_0045036	INTS2
hsa_circ_0036138	THSD4
hsa_circ_0025256	GNB3
hsa_circ_0071348	RAPGEF2
hsa_circ_0076263	DNAH8
hsa_circ_0033281	DYNC1H1
hsa_circ_0079820	BBS9
hsa_circ_0045189	TANC2
hsa_circ_0008487	C11orf30
hsa_circ_0044494	ITGA3
hsa_circ_0083218	ESYT2
